0--	M, 140283989721088, 64
1--	M, 140283989721152, 336
2--	M, 140283989721488, 240
3--	M, 140283989721728, 308
4--	M, 140283989722048, 434
5--	M, 140283989722496, 343
6--	M, 140283989722848, 270
7--	M, 140283989723120, 320
8--	M, 140283989723440, 119
9--	M, 140283989723568, 333
10--	M, 140283989723904, 291
11--	M, 140283989724208, 392
12--	M, 140283989724608, 463
13--	M, 140283989725072, 154
14--	M, 140283989725232, 346
15--	M, 140283989725584, 289
16--	M, 140283989725888, 382
17--	M, 140283989726272, 258
18--	M, 140283989726544, 434
19--	M, 140283989726992, 281
20--	M, 140283989727280, 267
21--	M, 140283989727552, 108
22--	M, 140283989727664, 406
23--	M, 140283989728080, 302
24--	M, 140283989728384, 259
25--	M, 140283989728656, 430
26--	M, 140283989729088, 230
27--	M, 140283989729328, 224
28--	M, 140283989729552, 198
29--	M, 140283989729760, 121
30--	M, 140283989729888, 153
31--	M, 140283989730048, 104
32--	M, 140283989730160, 269
33--	M, 140283989730432, 135
34--	M, 140283989730576, 467
35--	M, 140283989731056, 87
36--	M, 140283989731152, 50
37--	M, 140283989731216, 106
38--	M, 140283989731328, 64
39--	M, 140283989731392, 356
40--	M, 140283989731760, 322
41--	M, 140283989732096, 261
42--	F, 140283989731216
43--	M, 140283989732368, 458
44--	M, 140283989732832, 356
45--	M, 140283989733200, 121
46--	M, 140283989733328, 298
47--	M, 140283989733632, 450
48--	F, 140283989725584
49--	M, 140283989734096, 328
50--	M, 140283989734432, 471
51--	M, 140283989725584, 246
52--	M, 140283989734912, 87
53--	M, 140283989735008, 90
54--	M, 140283989735104, 92
55--	M, 140283989735200, 403
56--	M, 140283989735616, 160
57--	M, 140283989735776, 257
58--	M, 140283989736048, 373
59--	M, 140283989736432, 248
60--	M, 140283989736688, 461
61--	M, 140283989737152, 151
62--	M, 140283989737312, 461
63--	M, 140283989737776, 236
64--	M, 140283989738016, 334
65--	M, 140283989738352, 222
66--	F, 140283989721152
67--	M, 140283989738576, 352
68--	M, 140283989721152, 264
69--	M, 140283989738928, 399
70--	M, 140283989721424, 55
71--	M, 140283989739328, 117
72--	M, 140283989739456, 228
73--	M, 140283989739696, 81
74--	M, 140283989739792, 375
75--	M, 140283989740176, 421
76--	M, 140283989740608, 237
77--	M, 140283989740848, 444
78--	F, 140283989739792
79--	M, 140283989739792, 93
80--	M, 140283989739888, 203
81--	M, 140283989741296, 355
82--	M, 140283989741664, 225
83--	M, 140283989741904, 476
84--	M, 140283989742384, 345
85--	M, 140283989742736, 268
86--	M, 140283989743008, 465
87--	M, 140283989743488, 185
88--	M, 140283989743680, 147
89--	F, 140283989735776
90--	M, 140283989735776, 171
91--	M, 140283989743840, 438
92--	M, 140283989744288, 294
93--	F, 140283989723440
94--	M, 140283989744592, 436
95--	M, 140283989745040, 237
96--	M, 140283989745280, 456
97--	M, 140283989745744, 284
98--	M, 140283989740096, 50
99--	M, 140283989746032, 261
100--	M, 140283989746304, 234
101--	F, 140283989743680
102--	M, 140283989746544, 497
103--	M, 140283989731216, 97
104--	M, 140283989747056, 377
105--	F, 140283989729552
106--	M, 140283989747440, 455
107--	F, 140283989740608
108--	M, 140283989747904, 440
109--	F, 140283989737152
110--	M, 140283989748352, 432
111--	M, 140283989748784, 261
112--	F, 140283989730048
113--	M, 140283989723440, 120
114--	M, 140283989749056, 468
115--	M, 140283989740608, 220
116--	M, 140283989749536, 286
117--	F, 140283989736432
118--	F, 140283989728384
119--	M, 140283989728384, 257
120--	M, 140283989749824, 394
121--	M, 140283989750224, 349
122--	M, 140283989750576, 311
123--	F, 140283989726544
124--	M, 140283989737152, 121
125--	M, 140283989729552, 163
126--	M, 140283989736432, 187
127--	M, 140283989743680, 146
128--	M, 140283989726544, 392
129--	M, 140283989730048, 105
130--	M, 140283989750896, 171
131--	M, 140283989751072, 249
132--	M, 140283989751328, 193
133--	M, 140283989751536, 397
134--	M, 140283989751936, 337
135--	M, 140283989752288, 423
136--	M, 140283989752720, 460
137--	M, 140283989735952, 65
138--	M, 140283989736624, 52
139--	M, 140283989753184, 368
140--	M, 140283989753552, 310
141--	F, 140283989731328
142--	F, 140283989740096
143--	F, 140283989751936
144--	F, 140283989750896
145--	M, 140283989753872, 471
146--	M, 140283989751936, 312
147--	F, 140283989742384
148--	F, 140283989737776
149--	M, 140283989754352, 357
150--	M, 140283989731328, 60
151--	M, 140283989750896, 81
152--	M, 140283989742384, 182
153--	F, 140283989726544
154--	F, 140283989732368
155--	M, 140283989726544, 388
156--	M, 140283989732368, 363
157--	M, 140283989754720, 312
158--	M, 140283989750992, 72
159--	M, 140283989755040, 453
160--	M, 140283989755504, 491
161--	M, 140283989756000, 321
162--	F, 140283989733328
163--	F, 140283989751536
164--	M, 140283989733328, 201
165--	F, 140283989723440
166--	M, 140283989751536, 387
167--	F, 140283989753552
168--	F, 140283989749824
169--	M, 140283989756336, 493
170--	F, 140283989732832
171--	F, 140283989750224
172--	M, 140283989733536, 92
173--	M, 140283989732736, 441
174--	M, 140283989737776, 210
175--	M, 140283989753552, 295
176--	F, 140283989729088
177--	M, 140283989729088, 231
178--	M, 140283989749824, 296
179--	M, 140283989750128, 212
180--	M, 140283989756832, 227
181--	M, 140283989750352, 169
182--	M, 140283989757072, 198
183--	M, 140283989757280, 221
184--	M, 140283989757504, 481
185--	M, 140283989758000, 208
186--	F, 140283989758000
187--	F, 140283989729328
188--	F, 140283989756336
189--	M, 140283989758208, 499
190--	M, 140283989742576, 158
191--	M, 140283989756336, 339
192--	M, 140283989758000, 147
193--	F, 140283989731328
194--	M, 140283989758720, 275
195--	F, 140283989729088
196--	M, 140283989759008, 367
197--	M, 140283989729328, 194
198--	M, 140283989759376, 255
199--	M, 140283989759632, 324
200--	M, 140283989759968, 499
201--	F, 140283989731056
202--	M, 140283989740096, 73
203--	M, 140283989760480, 430
204--	F, 140283989739696
205--	M, 140283989760912, 410
206--	M, 140283989729088, 189
207--	M, 140283989761328, 190
208--	M, 140283989761520, 417
209--	M, 140283989761952, 309
210--	F, 140283989732368
211--	M, 140283989732368, 279
212--	F, 140283989753184
213--	M, 140283989753184, 319
214--	M, 140283989762272, 287
215--	M, 140283989762560, 334
216--	F, 140283989746304
217--	M, 140283989762896, 380
218--	F, 140283989732096
219--	M, 140283989756688, 134
220--	M, 140283989732096, 265
221--	F, 140283989758000
222--	M, 140283989746304, 228
223--	M, 140283989763280, 342
224--	F, 140283989757280
225--	M, 140283989723440, 114
226--	F, 140283989757072
227--	F, 140283989734432
228--	M, 140283989734432, 461
229--	M, 140283989763632, 265
230--	F, 140283989726544
231--	M, 140283989757072, 198
232--	F, 140283989728384
233--	M, 140283989758000, 173
234--	M, 140283989757280, 163
235--	F, 140283989739456
236--	F, 140283989735008
237--	F, 140283989731760
238--	M, 140283989731760, 293
239--	M, 140283989731328, 52
240--	F, 140283989739792
241--	F, 140283989725584
242--	M, 140283989739792, 83
243--	M, 140283989728384, 256
244--	M, 140283989763904, 472
245--	M, 140283989764384, 476
246--	M, 140283989726544, 410
247--	M, 140283989725584, 281
248--	M, 140283989764864, 441
249--	F, 140283989725888
250--	M, 140283989765312, 425
251--	M, 140283989732656, 56
252--	M, 140283989739456, 241
253--	F, 140283989721088
254--	M, 140283989725872, 195
255--	M, 140283989765744, 248
256--	F, 140283989727280
257--	M, 140283989766000, 300
258--	F, 140283989742576
259--	M, 140283989766304, 441
260--	M, 140283989726080, 126
261--	M, 140283989766752, 302
262--	M, 140283989727280, 187
263--	F, 140283989721152
264--	M, 140283989767056, 340
265--	F, 140283989759632
266--	M, 140283989767408, 474
267--	M, 140283989742576, 151
268--	M, 140283989759632, 200
269--	M, 140283989721088, 139
270--	M, 140283989721232, 183
271--	M, 140283989767888, 248
272--	M, 140283989768144, 305
273--	M, 140283989768464, 497
274--	F, 140283989755504
275--	F, 140283989743488
276--	M, 140283989755504, 225
277--	M, 140283989768976, 431
278--	M, 140283989755744, 238
279--	F, 140283989727552
280--	M, 140283989727552, 109
281--	M, 140283989769408, 465
282--	F, 140283989744288
283--	M, 140283989743488, 174
284--	F, 140283989721488
285--	F, 140283989755040
286--	M, 140283989735008, 83
287--	M, 140283989744288, 134
288--	F, 140283989730048
289--	F, 140283989741296
290--	F, 140283989750352
291--	F, 140283989739456
292--	M, 140283989741296, 338
293--	M, 140283989739456, 322
294--	F, 140283989735952
295--	F, 140283989751328
296--	M, 140283989755040, 464
297--	M, 140283989744432, 138
298--	F, 140283989753552
299--	F, 140283989767408
300--	M, 140283989753504, 241
301--	M, 140283989767408, 363
302--	M, 140283989769888, 249
303--	M, 140283989770144, 294
304--	M, 140283989770448, 288
305--	F, 140283989726544
306--	F, 140283989722848
307--	M, 140283989727472, 67
308--	M, 140283989726544, 414
309--	M, 140283989750352, 167
310--	F, 140283989767056
311--	M, 140283989770736, 469
312--	M, 140283989771216, 477
313--	M, 140283989771696, 458
314--	M, 140283989772160, 394
315--	F, 140283989726080
316--	F, 140283989770448
317--	M, 140283989751328, 194
318--	F, 140283989771216
319--	F, 140283989728384
320--	M, 140283989728384, 244
321--	M, 140283989722848, 251
322--	M, 140283989771216, 370
323--	M, 140283989721488, 195
324--	M, 140283989767776, 111
325--	M, 140283989770448, 199
326--	M, 140283989753760, 109
327--	M, 140283989767056, 217
328--	F, 140283989736624
329--	F, 140283989744288
330--	M, 140283989772560, 206
331--	M, 140283989772768, 293
332--	M, 140283989726080, 178
333--	F, 140283989739328
334--	M, 140283989773072, 427
335--	F, 140283989744592
336--	M, 140283989736624, 52
337--	M, 140283989744576, 400
338--	M, 140283989773504, 214
339--	M, 140283989744288, 138
340--	F, 140283989759008
341--	M, 140283989773728, 388
342--	M, 140283989739328, 121
343--	M, 140283989774128, 487
344--	M, 140283989759008, 291
345--	M, 140283989774624, 384
346--	F, 140283989770448
347--	F, 140283989730576
348--	M, 140283989730576, 242
349--	M, 140283989730832, 245
350--	M, 140283989775008, 428
351--	F, 140283989740096
352--	F, 140283989734912
353--	M, 140283989775440, 380
354--	F, 140283989740848
355--	M, 140283989730048, 98
356--	M, 140283989740832, 358
357--	M, 140283989775824, 455
358--	M, 140283989770448, 212
359--	M, 140283989770672, 57
360--	M, 140283989776288, 225
361--	F, 140283989745744
362--	F, 140283989751072
363--	F, 140283989747056
364--	F, 140283989730432
365--	M, 140283989767280, 116
366--	M, 140283989747056, 366
367--	F, 140283989751328
368--	M, 140283989776528, 387
369--	M, 140283989745744, 268
370--	F, 140283989747440
371--	M, 140283989751072, 256
372--	M, 140283989740096, 67
373--	M, 140283989747424, 317
374--	F, 140283989751936
375--	M, 140283989776928, 393
376--	M, 140283989751936, 243
377--	M, 140283989777328, 373
378--	M, 140283989777712, 442
379--	F, 140283989748352
380--	M, 140283989748352, 246
381--	M, 140283989778160, 308
382--	M, 140283989778480, 418
383--	F, 140283989761952
384--	M, 140283989761952, 183
385--	F, 140283989759376
386--	M, 140283989778912, 486
387--	M, 140283989730432, 139
388--	F, 140283989738352
389--	F, 140283989774128
390--	F, 140283989721488
391--	F, 140283989721424
392--	F, 140283989739456
393--	M, 140283989759312, 277
394--	M, 140283989774128, 466
395--	M, 140283989752192, 67
396--	M, 140283989739456, 303
397--	M, 140283989734896, 101
398--	M, 140283989779408, 434
399--	F, 140283989734432
400--	F, 140283989756336
401--	M, 140283989741200, 73
402--	M, 140283989721488, 235
403--	F, 140283989728656
404--	F, 140283989772160
405--	F, 140283989732368
406--	F, 140283989757504
407--	M, 140283989721424, 54
408--	F, 140283989727280
409--	F, 140283989738928
410--	F, 140283989748352
411--	F, 140283989735104
412--	M, 140283989728640, 434
413--	F, 140283989747424
414--	F, 140283989752720
415--	M, 140283989738352, 212
416--	M, 140283989756336, 309
417--	F, 140283989760912
418--	M, 140283989731088, 62
419--	M, 140283989727280, 132
420--	M, 140283989762144, 125
421--	F, 140283989772768
422--	F, 140283989775440
423--	M, 140283989732368, 286
424--	F, 140283989724608
425--	M, 140283989757456, 483
426--	M, 140283989751328, 152
427--	M, 140283989748352, 419
428--	M, 140283989772768, 233
429--	M, 140283989773008, 60
430--	F, 140283989730048
431--	F, 140283989723568
432--	M, 140283989723568, 253
433--	M, 140283989775440, 291
434--	M, 140283989744976, 60
435--	F, 140283989728640
436--	F, 140283989765312
437--	M, 140283989738928, 344
438--	M, 140283989772160, 210
439--	M, 140283989760912, 376
440--	F, 140283989763280
441--	M, 140283989772384, 150
442--	M, 140283989779856, 484
443--	M, 140283989763280, 249
444--	M, 140283989765312, 293
445--	F, 140283989750128
446--	M, 140283989728640, 317
447--	M, 140283989724608, 246
448--	M, 140283989724864, 175
449--	M, 140283989752720, 197
450--	M, 140283989734432, 363
451--	M, 140283989752928, 152
452--	M, 140283989747424, 189
453--	F, 140283989759632
454--	M, 140283989780352, 384
455--	M, 140283989747616, 254
456--	M, 140283989728960, 119
457--	F, 140283989770448
458--	M, 140283989780736, 441
459--	M, 140283989781184, 394
460--	M, 140283989750128, 162
461--	M, 140283989759600, 279
462--	M, 140283989781584, 180
463--	M, 140283989781776, 276
464--	F, 140283989732656
465--	M, 140283989782064, 346
